size,m,n,mean,std,k
100000,1000,100,1012.3470020377275,563.7138121914264,50
408000,1360,300,1959.0702153557154,623.0231121795047,50
860000,1720,500,2593.100647796283,643.913308097026,50
1456000,2080,700,3081.1188186177924,678.3100791097555,50
2196000,2440,900,3633.393314002093,637.0324113463362,50
3080000,2800,1100,4038.115437027927,726.0737798509037,50
4108000,3160,1300,4476.16468833299,669.7653510642052,50
5280000,3520,1500,4879.3383264556005,662.6712971692247,50
6596000,3880,1700,5358.510365642027,669.0625636846277,50
8056000,4240,1900,5691.72806862619,713.3499805809686,50
9660000,4600,2100,6061.352887255655,740.6928635079795,50
11408000,4960,2300,6544.278524395162,776.5863392944303,50
13300000,5320,2500,6899.1035531779935,766.0543257565002,50
15336000,5680,2700,7148.640399986055,818.6386661102027,50
17516000,6040,2900,7507.252128248192,814.8303794814385,50
19840000,6400,3100,7927.9252943312895,831.5385399133364,50
22308000,6760,3300,8236.047476687281,847.2866809404501,50
24920000,7120,3500,8587.067195895523,784.2688776422325,50
27676000,7480,3700,8882.277723568235,842.4524710298147,50
30576000,7840,3900,9267.29865453586,861.8866867562461,50
33620000,8200,4100,9495.980779084815,942.2065336807723,50
36808000,8560,4300,9865.945198954514,907.0940124103648,50
40140000,8920,4500,10161.195718633755,870.7918157784409,50
43616000,9280,4700,10533.107639702795,852.6589472763939,50
47236000,9640,4900,10808.578704204954,924.9300815975729,50
